epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,184.226,0.67771,0.57808,1.0044,0.63814,0.69,0.70391,0.5103,0.97168,1.06987,1.23964,0.000297232,0.000297232,0.000297232
82,186.49,0.65334,0.53093,0.98519,0.59632,0.71079,0.70815,0.52276,0.95676,1.16527,1.23309,0.000283085,0.000283085,0.000283085
83,188.744,0.64463,0.51897,0.98659,0.5326,0.80275,0.7033,0.51281,0.97526,1.13659,1.24055,0.000268938,0.000268938,0.000268938
84,190.961,0.65498,0.53755,0.97659,0.55189,0.69879,0.69574,0.50364,0.9639,1.07692,1.25245,0.000254791,0.000254791,0.000254791
85,193.168,0.64041,0.53782,0.98447,0.53972,0.78638,0.7129,0.5284,0.9612,1.0403,1.24928,0.000240644,0.000240644,0.000240644
86,195.408,0.66975,0.54567,1.0011,0.54798,0.8278,0.7424,0.53828,0.99331,1.0623,1.26808,0.000226497,0.000226497,0.000226497
87,197.639,0.67325,0.54195,1.00163,0.54768,0.88316,0.76331,0.55669,0.99464,1.09164,1.2689,0.000212349,0.000212349,0.000212349
88,199.939,0.66982,0.53582,0.99579,0.59033,0.82951,0.76829,0.56693,0.98015,1.11708,1.27176,0.000198202,0.000198202,0.000198202
89,202.222,0.62569,0.5035,0.98438,0.57949,0.82517,0.75106,0.55039,0.97857,1.10434,1.28101,0.000184055,0.000184055,0.000184055
90,204.467,0.62579,0.50977,0.97197,0.6177,0.66602,0.71283,0.52648,1.00833,1.17485,1.29399,0.000169908,0.000169908,0.000169908
91,207.287,0.55813,0.41506,0.9173,0.58825,0.70776,0.68026,0.49531,1.00998,1.21744,1.2947,0.000155761,0.000155761,0.000155761
92,209.549,0.55156,0.40875,0.92272,0.52329,0.80692,0.65972,0.48351,0.99403,1.21492,1.29818,0.000141614,0.000141614,0.000141614
93,211.757,0.55309,0.40914,0.91035,0.5497,0.83535,0.68275,0.49801,1.00989,1.229,1.30821,0.000127467,0.000127467,0.000127467
94,213.971,0.53848,0.40399,0.90884,0.56939,0.8533,0.72228,0.52514,1.00725,1.21727,1.2991,0.00011332,0.00011332,0.00011332
95,216.223,0.50528,0.38013,0.89451,0.56646,0.83383,0.72741,0.5364,1.0114,1.19834,1.30205,9.91726e-05,9.91726e-05,9.91726e-05
96,218.469,0.50988,0.36808,0.89035,0.56714,0.83194,0.73179,0.53264,1.00802,1.17618,1.30061,8.50255e-05,8.50255e-05,8.50255e-05
97,220.675,0.51958,0.38865,0.9091,0.58546,0.82688,0.73567,0.53698,1.01504,1.168,1.30826,7.08784e-05,7.08784e-05,7.08784e-05
98,222.872,0.49881,0.37978,0.89419,0.58086,0.7908,0.74498,0.54522,1.01896,1.20248,1.31338,5.67313e-05,5.67313e-05,5.67313e-05
99,225.1,0.52485,0.38131,0.89346,0.63645,0.69681,0.74566,0.54626,1.01182,1.19147,1.30957,4.25842e-05,4.25842e-05,4.25842e-05
100,227.309,0.50512,0.38924,0.89015,0.65406,0.69681,0.74816,0.54718,1.0062,1.17269,1.30766,2.84371e-05,2.84371e-05,2.84371e-05
